color,director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,month,fate, Action, Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,Western,War
Color,Lee Unkrich,103,125,721,John Ratzenberger,15000,Tom Hanks,19085,Don Rickles,3,English,USA,G,200000000,2010,1000,8.3,1.85,30000,June,Superhit,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Color,McG,118,368,988,Bryce Dallas Howard,23000,Christian Bale,27468,Common,0,English,USA,PG-13,200000000,2009,3000,6.6,2.35,0,May,Average,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,James Wan,140,0,14000,Paul Walker,26000,Jason Statham,79150,Vin Diesel,0,English,USA,PG-13,190000000,2015,23000,7.2,2.35,94000,April,Hit,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Color,Marc Forster,123,395,1000,Brad Pitt,17000,Peter Capaldi,32392,Mireille Enos,0,English,USA,PG-13,190000000,2013,11000,7,2.35,129000,June,Hit,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Color,Bryan Singer,149,0,20000,Peter Dinklage,34000,Jennifer Lawrence,91434,Hugh Jackman,7,English,USA,PG-13,200000000,2014,22000,8,2.35,82000,May,Superhit,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
Color,J.J. Abrams,132,14000,928,Bruce Greenwood,19000,Benedict Cumberbatch,21411,Noel Clarke,0,English,USA,PG-13,190000000,2013,981,7.8,2.35,92000,May,Hit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Bryan Singer,114,0,140,Ewen Bremner,979,Eddie Marsan,1766,Ralph Brown,1,English,USA,PG-13,195000000,2013,557,6.3,2.35,22000,Febraury,Average,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Color,Baz Luhrmann,143,1000,77,Elizabeth Debicki,29000,Leonardo DiCaprio,29770,Steve Bisley,4,English,Australia,PG-13,105000000,2013,509,7.3,2.35,115000,May,Hit,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Color,Mike Newell,116,179,236,Richard Coyle,15000,Jake Gyllenhaal,16149,Reece Ritchie,2,English,USA,PG-13,200000000,2010,567,6.6,2.35,23000,May,Average,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Color,Guillermo del Toro,131,0,919,Clifton Collins Jr.,16000,Charlie Hunnam,19166,Larry Joe Campbell,0,English,USA,PG-13,190000000,2013,968,7,1.85,83000,July,Hit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Michael Bay,154,0,581,Lester Speight,894,Glenn Morshower,2593,Kevin Dunn,2,English,USA,PG-13,195000000,2011,829,6.3,2.35,46000,June,Average,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Steven Spielberg,122,14000,1000,Ray Winstone,11000,Harrison Ford,14959,Jim Broadbent,2,English,USA,PG-13,185000000,2008,1000,6.2,2.35,5000,May,Average,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Color,Peter Sohn,93,113,113,Jack McGraw,275,A.J. Buckley,696,Peter Sohn,0,English,USA,PG,,2015,150,6.8,2.35,20000,November,Average,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Color,Mark Andrews,93,56,838,John Ratzenberger,2000,Kelly Macdonald,5005,Julie Walters,0,English,USA,PG,185000000,2012,1000,7.2,2.35,39000,June,Hit,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Color,Justin Lin,122,681,105,Melissa Roxburgh,998,Sofia Boutella,1327,Lydia Wilson,4,English,USA,PG-13,185000000,2016,119,7.5,2.35,30000,July,Hit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Color,Andrew Stanton,98,475,522,Fred Willard,1000,John Ratzenberger,2975,Jeff Garlin,0,English,USA,G,180000000,2008,729,8.4,2.35,16000,June,Superhit,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Color,Brett Ratner,91,420,173,Dana Ivey,268,Tzi Ma,1125,Noémie Lenoir,2,English,USA,PG-13,140000000,2007,268,6.2,2.35,0,August,Average,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Color,Roland Emmerich,158,776,310,Liam James,1000,Oliver Platt,2144,Tom McCarthy,0,English,USA,PG-13,200000000,2009,468,5.8,2.35,13000,October,Flop,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Robert Zemeckis,96,0,10000,Colin Firth,18000,Robin Wright,48878,Gary Oldman,0,English,USA,PG,200000000,2009,14000,6.8,2.35,0,November,Average,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Color,Lana Wachowski,127,0,13000,Mila Kunis,17000,Channing Tatum,47334,Eddie Redmayne,1,English,USA,PG-13,176000000,2015,15000,5.4,2.35,44000,Febraury,Flop,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,David Yates,110,282,103,Alexander Skarsgård,11000,Christoph Waltz,21175,Casper Crump,2,English,USA,PG-13,180000000,2016,10000,6.6,2.35,29000,June,Average,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Color,Andrew Adamson,150,80,82,Kiran Shah,1000,Jim Broadbent,1317,Shane Rangi,5,English,USA,PG,180000000,2005,190,6.9,2.35,0,December,Superhit,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Color,Bryan Singer,144,0,1000,Michael Fassbender,34000,Jennifer Lawrence,49684,Tye Sheridan,6,English,USA,PG-13,178000000,2016,13000,7.3,2.35,54000,May,Hit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Christopher Nolan,152,22000,11000,Heath Ledger,23000,Christian Bale,57802,Morgan Freeman,0,English,USA,PG-13,185000000,2008,13000,9,2.35,37000,July,Superhit,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Color,Pete Docter,96,0,262,Delroy Lindo,1000,John Ratzenberger,2635,Jess Harnell,1,English,USA,PG,175000000,2009,848,8.3,1.85,27000,May,Superhit,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Color,Rob Letterman,94,11,459,Rainn Wilson,1000,Amy Poehler,2579,Stephen Colbert,2,English,USA,PG,175000000,2009,973,6.5,2.35,0,March,Average,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Color,Jon Favreau,126,4000,4000,Jeff Bridges,21000,Robert Downey Jr.,39252,Jon Favreau,3,English,USA,PG-13,140000000,2008,12000,7.9,2.35,10000,April,Hit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Martin Scorsese,126,17000,1000,Christopher Lee,17000,Chloë Grace Moretz,36017,Ray Winstone,0,English,USA,PG,170000000,2011,16000,7.5,1.85,42000,November,Hit,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Color,Barry Sonnenfeld,106,188,582,Salma Hayek,10000,Will Smith,15870,Bai Ling,2,English,USA,PG-13,170000000,1999,4000,4.8,1.85,0,June,Flop,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Color,Rob Cohen,112,357,595,Brendan Fraser,5000,Jet Li,9131,Russell Wong,2,English,USA,PG-13,145000000,2008,3000,5.2,2.35,0,July,Flop,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Color,David Ayer,123,452,329,Robin Atkin Downes,10000,Will Smith,11287,Ike Barinholtz,8,English,USA,PG-13,175000000,2016,336,6.9,2.35,80000,August,Average,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Tom Shadyac,96,293,7000,Morgan Freeman,87000,Jimmy Bennett,108016,Steve Carell,0,English,USA,PG,175000000,2007,11000,5.4,2.35,2000,June,Flop,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Color,Doug Liman,113,218,509,Lara Pulver,10000,Tom Cruise,12652,Noah Taylor,1,English,USA,PG-13,178000000,2014,854,7.9,2.35,77000,May,Hit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Kevin Reynolds,176,58,60,Rick Aviles,711,Jeanne Tripplehorn,1004,Zakes Mokae,0,English,USA,PG-13,175000000,1995,60,6.1,1.85,0,July,Average,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Color,Stephen Sommers,118,208,570,Dennis Quaid,23000,Joseph Gordon-Levitt,26683,Leo Howard,4,English,USA,PG-13,175000000,2009,2000,5.8,2.35,0,August,Flop,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Color,Pete Docter,95,0,384,Mindy Kaling,1000,Amy Poehler,2944,Phyllis Smith,1,English,USA,PG,175000000,2015,767,8.3,1.85,118000,June,Superhit,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Color,Jon Favreau,106,4000,591,Bill Murray,19000,Scarlett Johansson,32921,Garry Shandling,0,English,UK,PG,175000000,2016,13000,7.8,1.85,65000,April,Hit,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Color,Jon Favreau,124,4000,4000,Scarlett Johansson,21000,Robert Downey Jr.,48638,Jon Favreau,4,English,USA,PG-13,200000000,2010,19000,7,2.35,18000,April,Hit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Rupert Sanders,132,274,11000,Kristen Stewart,26000,Chris Hemsworth,72881,Sam Claflin,0,English,USA,PG-13,170000000,2012,17000,6.1,2.35,53000,May,Average,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Color,Robert Stromberg,97,171,846,Sharlto Copley,11000,Angelina Jolie Pitt,15516,Sam Riley,2,English,USA,PG,180000000,2014,2000,7,2.35,89000,May,Hit,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Color,Matt Reeves,130,198,884,Judy Greer,10000,Gary Oldman,14363,Kodi Smit-McPhee,0,English,USA,PG-13,170000000,2014,2000,7.6,1.85,45000,June,Hit,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Color,Roland Joffé,109,596,283,Alice Englert,622,Tamsin Egerton,1982,Bipasha Basu,3,English,Belgium,R,,2015,525,4.5,,677,August,Flop,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Color,Carl Rinsch,128,47,982,Cary-Hiroyuki Tagawa,18000,Keanu Reeves,20965,Jin Akanishi,2,English,USA,PG-13,175000000,2013,1000,6.3,2.35,35000,December,Average,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Color,Anthony Russo,136,94,2000,Chris Evans,19000,Scarlett Johansson,36188,Hayley Atwell,1,English,USA,PG-13,170000000,2014,11000,7.8,2.35,55000,March,Hit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Mike Mitchell,93,31,213,Kathy Griffin,4000,Jon Hamm,4628,Mary Kay Place,2,English,USA,PG,165000000,2010,225,6.4,2.35,0,May,Average,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Color,Brad Bird,130,663,604,Chris Bauer,2000,Judy Greer,5046,Thomas Robinson,2,English,USA,PG,190000000,2015,638,6.5,2.2,37000,May,Average,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Color,Don Hall,102,38,562,Daniel Henney,756,Damon Wayans Jr.,2963,Abraham Benrubi,0,English,USA,PG,165000000,2014,719,7.9,2.39,41000,October,Hit,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Color,Rich Moore,101,66,833,Sarah Silverman,975,Jack McBrayer,4451,Joe Lo Truglio,1,English,USA,PG,165000000,2012,931,7.8,2.35,40000,November,Hit,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Color,Robert Zemeckis,100,0,267,Eddie Deezen,15000,Tom Hanks,16264,Peter Scolari,0,English,USA,G,165000000,2004,726,6.6,2.35,10000,November,Average,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Color,Roland Emmerich,120,776,535,Sela Ward,890,Vivica A. Fox,3233,Judd Hirsch,0,English,USA,PG-13,165000000,2016,812,5.5,2.35,67000,June,Flop,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Dean DeBlois,98,255,759,America Ferrera,18000,Gerard Butler,20453,Craig Ferguson,0,English,USA,PG,165000000,2010,953,8.2,2.35,33000,March,Superhit,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Color,Jonathan Mostow,109,84,191,M.C. Gainey,648,Nick Stahl,1769,Carolyn Hennesy,0,English,USA,R,200000000,2003,284,6.4,2.35,0,July,Average,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,James Gunn,121,571,3000,Vin Diesel,14000,Bradley Cooper,32438,Djimon Hounsou,3,English,USA,PG-13,170000000,2014,14000,8.1,2.35,96000,July,Superhit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Christopher Nolan,169,22000,6000,Anne Hathaway,11000,Matthew McConaughey,31488,Mackenzie Foy,1,English,USA,PG-13,165000000,2014,11000,8.6,2.35,349000,November,Superhit,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Color,Christopher Nolan,148,22000,23000,Tom Hardy,29000,Leonardo DiCaprio,81115,Joseph Gordon-Levitt,0,English,USA,PG-13,160000000,2010,27000,8.8,2.35,175000,July,Superhit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Color,Hideaki Anno,120,28,12,Shin'ya Tsukamoto,544,Mark Chinnery,699,Atsuko Maeda,0,Japanese,Japan,,,2016,106,8.2,2.35,0,July,Superhit,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Color,Peter Jackson,182,0,773,Adam Brown,5000,Aidan Turner,9152,James Nesbitt,,English,USA,PG-13,180000000,2012,972,7.9,2.35,166000,November,Hit,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Color,Rob Cohen,106,357,4000,Vin Diesel,23000,Paul Walker,45327,Jordana Brewster,2,English,USA,PG-13,38000000,2001,14000,6.7,2.35,14000,June,Average,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Color,David Fincher,166,21000,919,Jason Flemyng,11000,Brad Pitt,13333,Julia Ormond,2,English,USA,PG-13,150000000,2008,1000,7.8,2.35,23000,November,Hit,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Color,Matthew Vaughn,132,905,1000,Michael Fassbender,34000,Jennifer Lawrence,50983,Oliver Platt,3,English,USA,PG-13,160000000,2011,13000,7.8,2.35,54000,May,Hit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Francis Lawrence,137,508,14000,Philip Seymour Hoffman,34000,Jennifer Lawrence,81385,Josh Hutcherson,1,English,USA,PG-13,160000000,2015,22000,6.6,2.35,38000,November,Average,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Jon Turteltaub,109,226,370,Omar Benson Miller,12000,Nicolas Cage,13388,Robert Capron,0,English,USA,PG,150000000,2010,418,6.1,2.35,11000,July,Average,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Color,Wolfgang Petersen,98,249,702,Mike Vogel,87000,Jimmy Bennett,92456,Andre Braugher,0,English,USA,PG-13,160000000,2006,2000,5.6,2.35,0,May,Flop,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Color,James Bobin,113,33,11000,Alan Rickman,40000,Johnny Depp,80806,Anne Hathaway,1,English,USA,PG,170000000,2016,25000,6.4,1.85,30000,May,Average,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Color,Chris Miller,93,50,692,Eric Idle,3000,Justin Timberlake,4705,Rupert Everett,2,English,USA,PG,160000000,2007,795,6.1,1.85,0,May,Average,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
